Date,	Q1 Answer,	
2017-11-30 23:46:52 Etc/GMT,	No Confidence,	
2017-11-30 23:47:15 Etc/GMT,	Keon Li,	
2017-11-30 23:47:29 Etc/GMT,	Eric Gao,	
2017-11-30 23:48:28 Etc/GMT,	Keon Li,	
2017-11-30 23:48:50 Etc/GMT,	Eric Gao,	
2017-11-30 23:49:08 Etc/GMT,	Eric Gao,	
2017-11-30 23:49:55 Etc/GMT,	Eric Gao,	
2017-11-30 23:50:08 Etc/GMT,	Eric Gao,	
2017-11-30 23:50:44 Etc/GMT,	Eric Gao,	
2017-11-30 23:52:06 Etc/GMT,	Keon Li,	
2017-11-30 23:56:13 Etc/GMT,	Eric Gao,	
2017-12-01 00:00:25 Etc/GMT,	Keon Li,	
2017-12-01 00:00:30 Etc/GMT,	Eric Gao,	
2017-12-01 00:00:43 Etc/GMT,	Eric Gao,	
2017-12-01 00:02:04 Etc/GMT,	Keon Li,	
2017-12-01 00:19:40 Etc/GMT,	Eric Gao,	
2017-12-01 00:20:25 Etc/GMT,	Eric Gao,	
2017-12-01 00:21:30 Etc/GMT,	Eric Gao,	
2017-12-01 00:29:48 Etc/GMT,	Keon Li,	
2017-12-01 00:30:01 Etc/GMT,	Eric Gao,	
2017-12-01 00:36:26 Etc/GMT,	Eric Gao,	
2017-12-01 01:02:35 Etc/GMT,	Eric Gao,	
2017-12-01 01:16:12 Etc/GMT,	Eric Gao,	
2017-12-01 01:28:32 Etc/GMT,	Eric Gao,	
2017-12-01 02:13:38 Etc/GMT,	Eric Gao,	
2017-12-01 02:23:04 Etc/GMT,	Eric Gao,	
2017-12-01 02:32:45 Etc/GMT,	Eric Gao,	
2017-12-01 02:41:44 Etc/GMT,	No Confidence,	
2017-12-01 02:42:20 Etc/GMT,	Eric Gao,	
2017-12-01 02:48:20 Etc/GMT,	Eric Gao,	
2017-12-01 02:52:37 Etc/GMT,	Keon Li,	
2017-12-01 02:54:42 Etc/GMT,	Eric Gao,	
2017-12-01 03:17:54 Etc/GMT,	Eric Gao,	
2017-12-01 04:00:33 Etc/GMT,	No Confidence,	
2017-12-01 04:53:45 Etc/GMT,	Keon Li,	
2017-12-01 04:59:05 Etc/GMT,	Eric Gao,	
2017-12-01 05:01:27 Etc/GMT,	Keon Li,	
2017-12-01 05:09:30 Etc/GMT,	No Confidence,	
2017-12-01 05:22:55 Etc/GMT,	Eric Gao,	
2017-12-01 06:02:44 Etc/GMT,	Eric Gao,	
2017-12-01 07:06:52 Etc/GMT,	Keon Li,	
2017-12-01 07:47:43 Etc/GMT,	Eric Gao,	
2017-12-01 17:14:02 Etc/GMT,	Eric Gao,	
2017-12-01 17:34:39 Etc/GMT,	Eric Gao,	
2017-12-01 18:37:00 Etc/GMT,	Keon Li,	
2017-12-01 20:38:49 Etc/GMT,	Eric Gao,	
2017-12-02 03:14:43 Etc/GMT,	No Confidence,	
2017-12-02 19:30:24 Etc/GMT,	Eric Gao,	
2017-12-02 20:29:48 Etc/GMT,	Eric Gao,	
2017-12-07 00:07:10 Etc/GMT,	Eric Gao,	
2017-12-07 00:07:20 Etc/GMT,	Eric Gao,	
2017-12-07 00:07:31 Etc/GMT,	Eric Gao,	
2017-12-07 00:07:47 Etc/GMT,	Eric Gao,	
2017-12-07 00:08:35 Etc/GMT,	Keon Li,	
2017-12-07 00:10:07 Etc/GMT,	Eric Gao,	
2017-12-07 00:12:09 Etc/GMT,	Eric Gao,	
2017-12-07 00:13:16 Etc/GMT,	Eric Gao,	
2017-12-07 00:17:33 Etc/GMT,	Keon Li,	
2017-12-07 00:18:17 Etc/GMT,	Eric Gao,	
2017-12-07 00:19:30 Etc/GMT,	Eric Gao,	
2017-12-07 00:34:36 Etc/GMT,	Eric Gao,	
2017-12-07 01:35:54 Etc/GMT,	Eric Gao,	
2017-12-07 01:36:32 Etc/GMT,	Eric Gao,	
2017-12-07 01:42:56 Etc/GMT,	Eric Gao,	
2017-12-07 01:48:23 Etc/GMT,	No Confidence,	
2017-12-07 02:02:20 Etc/GMT,	Keon Li,	
2017-12-07 02:21:34 Etc/GMT,	Eric Gao,	
2017-12-07 02:33:04 Etc/GMT,	No Confidence,	
2017-12-07 02:36:52 Etc/GMT,	Keon Li,	
2017-12-07 03:31:23 Etc/GMT,	Keon Li,	
2017-12-07 03:43:32 Etc/GMT,	Eric Gao,	
2017-12-07 05:05:25 Etc/GMT,	Eric Gao,	
2017-12-07 05:54:34 Etc/GMT,	No Confidence,	
2017-12-07 06:11:12 Etc/GMT,	Eric Gao,	
2017-12-07 07:01:17 Etc/GMT,	Keon Li,	
2017-12-07 07:54:05 Etc/GMT,	Eric Gao,	
2017-12-07 11:43:09 Etc/GMT,	Eric Gao,	
2017-12-07 14:22:44 Etc/GMT,	Keon Li,	
2017-12-07 15:26:26 Etc/GMT,	Keon Li,	
2017-12-07 18:18:55 Etc/GMT,	No Confidence,	
2017-12-07 19:35:13 Etc/GMT,	Eric Gao,	
